Execucio || Benefici (€) || Temps (ms)|| PeticionsServides || KmRecorreguts || Cost per Km || Max Km dia || NodesExpandits
1 || 94236.00 || 0 || 100 || 2702.00 || 2 || 640 || 1
2 || 94852.00 || 1 || 100 || 2454.00 || 2 || 640 || 1
3 || 93036.00 || 1 || 100 || 3402.00 || 2 || 640 || 1
4 || 96076.00 || 0 || 100 || 2002.00 || 2 || 640 || 1
5 || 93080.00 || 1 || 100 || 3250.00 || 2 || 640 || 1
6 || 94612.00 || 0 || 100 || 2744.00 || 2 || 640 || 1
7 || 96288.00 || 1 || 100 || 1916.00 || 2 || 640 || 1
8 || 95172.00 || 0 || 100 || 2494.00 || 2 || 640 || 1
9 || 94916.00 || 0 || 100 || 2452.00 || 2 || 640 || 1
10 || 93700.00 || 1 || 100 || 2740.00 || 2 || 640 || 1
