Execucio || Benefici (€) || Temps (ms)|| PeticionsServides || KmRecorreguts || Cost per Km || Max Km dia || NodesExpandits
1 || 94544.00 || 2149 || 100 || 2688.00 || 2 || 640 || 120
2 || 95728.00 || 2187 || 100 || 2236.00 || 2 || 640 || 122
3 || 94536.00 || 2197 || 100 || 2832.00 || 2 || 640 || 122
4 || 96260.00 || 2022 || 100 || 2120.00 || 2 || 640 || 114
5 || 94116.00 || 2190 || 100 || 2932.00 || 2 || 640 || 127
6 || 95180.00 || 2205 || 100 || 2600.00 || 2 || 640 || 129
7 || 96764.00 || 2222 || 100 || 2028.00 || 2 || 640 || 120
8 || 95804.00 || 1993 || 100 || 2348.00 || 2 || 640 || 113
9 || 95904.00 || 2789 || 100 || 2188.00 || 2 || 640 || 135
10 || 94356.00 || 2311 || 100 || 2672.00 || 2 || 640 || 125
