Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94236.00 || 10000 || 125 || 0.01 ||118
2 || 95172.00 || 10000 || 125 || 0.01 ||114
3 || 93592.00 || 10000 || 125 || 0.01 ||118
4 || 96076.00 || 10000 || 125 || 0.01 ||120
5 || 93732.00 || 10000 || 125 || 0.01 ||111
6 || 94604.00 || 10000 || 125 || 0.01 ||108
7 || 96180.00 || 10000 || 125 || 0.01 ||117
8 || 95136.00 || 10000 || 125 || 0.01 ||121
9 || 95500.00 || 10000 || 125 || 0.01 ||122
10 || 93784.00 || 10000 || 125 || 0.01 ||115
