Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94372.00 || 10000 || 5 || 1.0E-4 ||116
2 || 95304.00 || 10000 || 5 || 1.0E-4 ||112
3 || 93884.00 || 10000 || 5 || 1.0E-4 ||114
4 || 96252.00 || 10000 || 5 || 1.0E-4 ||119
5 || 93532.00 || 10000 || 5 || 1.0E-4 ||111
6 || 95176.00 || 10000 || 5 || 1.0E-4 ||106
7 || 96768.00 || 10000 || 5 || 1.0E-4 ||114
8 || 95704.00 || 10000 || 5 || 1.0E-4 ||119
9 || 95388.00 || 10000 || 5 || 1.0E-4 ||120
10 || 94108.00 || 10000 || 5 || 1.0E-4 ||115
