Execucio || Benefici (€) || Temps (ms)|| PeticionsServides || KmRecorreguts || Cost per Km || Max Km dia || NodesExpandits
1 || 289704.00 || 57566 || 300 || 4898.00 || 2 || 640 || 54
2 || 289940.00 || 47179 || 300 || 4860.00 || 2 || 640 || 47
3 || 290544.00 || 40055 || 300 || 4478.00 || 2 || 640 || 38
4 || 288036.00 || 29823 || 300 || 5902.00 || 2 || 640 || 31
5 || 290548.00 || 36021 || 300 || 4446.00 || 2 || 640 || 36
6 || 290416.00 || 44124 || 300 || 4372.00 || 2 || 640 || 44
7 || 291620.00 || 28749 || 300 || 4360.00 || 2 || 640 || 27
8 || 292088.00 || 23668 || 300 || 3806.00 || 2 || 640 || 23
9 || 289028.00 || 29394 || 300 || 5146.00 || 2 || 640 || 27
10 || 288660.00 || 46308 || 300 || 5170.00 || 2 || 640 || 47
