Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 484964.00 || 10000 || 25 || 0.001 ||624
2 || 487444.00 || 10000 || 25 || 0.001 ||558
3 || 487432.00 || 10000 || 25 || 0.001 ||589
4 || 484532.00 || 10000 || 25 || 0.001 ||426
5 || 487108.00 || 10000 || 25 || 0.001 ||567
6 || 486216.00 || 10000 || 25 || 0.001 ||551
7 || 488944.00 || 10000 || 25 || 0.001 ||561
8 || 486072.00 || 10000 || 25 || 0.001 ||515
9 || 484860.00 || 10000 || 25 || 0.001 ||533
10 || 484060.00 || 10000 || 25 || 0.001 ||515
