Execucio || Benefici (€) || Temps (ms)|| PeticionsServides || KmRecorreguts || Cost per Km || Max Km dia || NodesExpandits
1 || 94344.00 || 234 || 100 || 2648.00 || 2 || 640 || 7
2 || 95272.00 || 536 || 100 || 2244.00 || 2 || 640 || 17
3 || 94000.00 || 918 || 100 || 2920.00 || 2 || 640 || 30
4 || 96124.00 || 225 || 100 || 1978.00 || 2 || 640 || 7
5 || 93344.00 || 355 || 100 || 3118.00 || 2 || 640 || 11
6 || 94880.00 || 547 || 100 || 2610.00 || 2 || 640 || 18
7 || 96372.00 || 353 || 100 || 1874.00 || 2 || 640 || 11
8 || 95512.00 || 483 || 100 || 2324.00 || 2 || 640 || 14
9 || 95308.00 || 507 || 100 || 2256.00 || 2 || 640 || 15
10 || 93832.00 || 357 || 100 || 2674.00 || 2 || 640 || 11
