Execucio || Benefici (€) || Temps (ms)|| PeticionsServides || KmRecorreguts || Cost per Km || Max Km dia || NodesExpandits
1 || 93200.00 || 399 || 100 || 3180.00 || 2 || 640 || 13
2 || 94424.00 || 406 || 100 || 2738.00 || 2 || 640 || 13
3 || 91880.00 || 287 || 100 || 3950.00 || 2 || 640 || 11
4 || 94120.00 || 299 || 100 || 2860.00 || 2 || 640 || 9
5 || 92680.00 || 142 || 100 || 3440.00 || 2 || 640 || 5
6 || 94624.00 || 257 || 100 || 2578.00 || 2 || 640 || 9
7 || 94528.00 || 447 || 100 || 2936.00 || 2 || 640 || 15
8 || 94400.00 || 443 || 100 || 2830.00 || 2 || 640 || 13
9 || 93164.00 || 169 || 100 || 3278.00 || 2 || 640 || 6
10 || 91100.00 || 218 || 100 || 4200.00 || 2 || 640 || 10
