Execucio || Benefici (€) || Temps (ms)|| PeticionsServides || KmRecorreguts || Cost per Km || Max Km dia || NodesExpandits
1 || 78456,00 || 398 || 100 || 2648,00 || 8 || 640 || 7
2 || 81808,00 || 949 || 100 || 2244,00 || 8 || 640 || 17
3 || 76480,00 || 1674 || 100 || 2920,00 || 8 || 640 || 30
4 || 84256,00 || 403 || 100 || 1978,00 || 8 || 640 || 7
5 || 74636,00 || 614 || 100 || 3118,00 || 8 || 640 || 11
6 || 79220,00 || 981 || 100 || 2610,00 || 8 || 640 || 18
7 || 85128,00 || 619 || 100 || 1874,00 || 8 || 640 || 11
8 || 81568,00 || 804 || 100 || 2324,00 || 8 || 640 || 14
9 || 81772,00 || 849 || 100 || 2256,00 || 8 || 640 || 15
10 || 77788,00 || 615 || 100 || 2674,00 || 8 || 640 || 11
