Execucio || Benefici (€) || Temps (ms)|| PeticionsServides || KmRecorreguts || Cost per Km || Max Km dia || NodesExpandits
3 || 94344.00 || 230 || 100 || 2648.00 || 2 || 720 || 7
3 || 95272.00 || 544 || 100 || 2244.00 || 2 || 720 || 17
3 || 94000.00 || 939 || 100 || 2920.00 || 2 || 720 || 30
3 || 96124.00 || 242 || 100 || 1978.00 || 2 || 720 || 7
3 || 93344.00 || 355 || 100 || 3118.00 || 2 || 720 || 11
3 || 94880.00 || 533 || 100 || 2610.00 || 2 || 720 || 18
3 || 96372.00 || 355 || 100 || 1874.00 || 2 || 720 || 11
3 || 95512.00 || 475 || 100 || 2324.00 || 2 || 720 || 14
3 || 95308.00 || 524 || 100 || 2256.00 || 2 || 720 || 15
3 || 93832.00 || 355 || 100 || 2674.00 || 2 || 720 || 11
